Cmin,0,3,7
Dmin,2,5,9
Emin,4,7,11
Fmin,5,8,0
Gmin,7,10,2
Amin,9,0,4
Bmin,11,2,6
A#min,10,1,5
B#min,0,3,7
C#min,1,4,8
D#min,3,6,10
E#min,5,8,0
F#min,6,9,1
G#min,8,11,3
Abmin,8,11,3
Bbmin,10,1,5
Cbmin,11,2,6
Dbmin,1,4,8
Ebmin,3,6,10
Fbmin,4,7,11
Gbmin,6,9,1
Cmaj,0,4,7
Dmaj,2,6,9
Emaj,4,8,11
Fmaj,5,9,0
Gmaj,7,11,2
Amaj,9,1,4
Bmaj,11,3,6
A#maj,10,2,5
B#maj,0,4,7
C#maj,1,5,8
D#maj,3,7,10
E#maj,5,9,0
F#maj,6,10,1
G#maj,8,0,3
Abmaj,8,0,3
Bbmaj,10,2,5
Cbmaj,11,3,6
Dbmaj,1,5,8
Ebmaj,3,7,10
Fbmaj,4,8,11
Gbmaj,6,10,1
C7,0,4,7,10
D7,2,6,9,0
E7,4,8,11,2
F7,5,9,0,3
G7,7,11,2,5
A7,9,1,4,7
B7,11,3,6,9
A#7,10,2,5,8
B#7,0,4,7,10
C#7,1,5,8,11
D#7,3,7,10,1
E#7,5,9,0,3
F#7,6,10,1,4
G#7,8,0,3,6
Ab7,8,0,3,6
Bb7,10,2,5,8
Cb7,11,3,6,9
Db7,1,5,8,11
Eb7,3,7,10,1
Fb7,4,8,11,2
Gb7,6,10,1,4
Cdim,0,3,6
Ddim,2,5,8
Edim,4,7,10
Fdim,5,8,11
Gdim,7,10,1
Adim,9,0,3
Bdim,11,2,5
A#dim,10,1,4
B#dim,0,3,6
C#dim,1,4,7
D#dim,3,6,9
E#dim,5,8,11
F#dim,6,9,0
G#dim,8,11,2
Abdim,8,11,2
Bbdim,10,1,4
Cbdim,11,2,5
Dbdim,1,4,7
Ebdim,3,6,9
Fbdim,4,7,10
Gbdim,6,9,0
A#dim7,8,11,2,5
B#dim7,0,3,6,9
C#dim7,1,4,7,10
D#dim7,3,6,9,0
E#dim7,5,8,11,2
F#dim7,6,9,0,3
G#dim7,8,11,2,5
Abdim7,8,11,2,5
Bbdim7,10,1,4,7
Cbdim7,11,2,5,8
Dbdim7,1,4,7,10
Ebdim7,3,6,9,0
Fbdim7,4,7,10,1
Gbdim7,6,9,0,3
Adim7,9,0,3,6
Bdim7,11,2,5,8
Cdim7,0,3,6,9
Ddim7,2,5,8,11
Edim7,4,7,10,1
Fdim7,5,8,11,2
Gdim7,7,10,1,4
A#maj7,10,2,5,9
B#maj7,0,4,7,11
C#maj7,1,5,8,0
D#maj7,3,7,10,2
E#maj7,5,9,0,4
F#maj7,6,10,1,5
G#maj7,8,0,3,7
Abmaj7,8,0,3,7
Bbmaj7,10,2,5,9
Cbmaj7,0,4,7,11
Dbmaj7,1,5,8,0
Ebmaj7,3,7,10,2
Fbmaj7,4,8,11,3
Gbmaj7,6,10,1,5
Amaj7,9,1,4,8
Bmaj7,11,3,6,10
Cmaj7,0,4,7,11
Dmaj7,2,6,9,1
Emaj7,4,8,11,3
Fmaj7,5,9,0,4
Gmaj7,7,11,2,6
Cmin7,0,3,7,10
Dmin7,2,5,9,0
Emin7,4,7,11,2
Fmin7,5,8,0,3
Gmin7,7,10,2,5
Amin7,9,0,4,7
Bmin7,11,2,6,9
A#min7,10,1,5,8
B#min7,0,3,7,10
C#min7,1,4,8,11
D#min7,3,6,10,1
E#min7,5,8,0,3
F#min7,6,9,1,4
G#min7,8,11,3,6
Cbmin7,11,2,6,9
Dbmin7,1,4,8,11
Ebmin7,3,6,10,1
Fbmin7,4,7,11,2
Gbmin7,6,9,1,4
Abmin7,8,11,3,6
Bbmin7,10,1,5,8
Aaug,9,1,5
Baug,11,3,7
Caug,0,4,8
Daug,2,6,10
Eaug,4,8,0
Faug,5,9,1
Gaug,7,11,3
A#aug,10,2,6
B#aug,0,4,8
C#aug,1,5,9
D#aug,3,7,11
E#aug,5,9,1
F#aug,6,10,2
G#aug,8,0,4
Abaug,8,0,4
Bbaug,10,2,6
Cbaug,11,3,7
Dbaug,1,5,9
Ebaug,3,7,11
Fbaug,4,8,0
Gbaug,6,10,2
